timestamp_utc,cut_id,commanded_tilt_degrees,commanded_pan_degrees,commanded_elevation_degrees,commanded_azimuth_degrees,actual_tilt_degrees,actual_pan_degrees,actual_elevation_degrees,actual_azimuth_degrees,central_frequency_hz,central_frequency_power_dbm,peak_power_frequency_hz,peak_power_dbm
2026-02-06 18:00:38.457028+00:00,coarse-az,0.0,-180.0,0.0,-180.0,0.11432336266295945,-180.0325518172972,0.11432336266295945,-180.0325518172972,10000000000.0,-21.787849456361936,9999652644.83735,-18.531393981859683
2026-02-06 18:00:39.469601+00:00,coarse-az,0.0,-179.0,0.0,-179.0,-0.188834889097665,-178.96025374092753,-0.188834889097665,-178.96025374092753,10000000000.0,-21.622230204158605,10000534453.06658,-18.814019670452016
2026-02-06 18:00:40.456391+00:00,coarse-az,0.0,-178.0,0.0,-178.0,-0.021354462808298655,-178.17431951941055,-0.021354462808298655,-178.17431951941055,10000000000.0,-21.636684088474453,10000085325.072187,-19.387394551013948
2026-02-06 18:00:41.520433+00:00,coarse-az,0.0,-177.0,0.0,-177.0,0.06650660656292455,-177.04384668750993,0.06650660656292455,-177.04384668750993,10000000000.0,-22.552156593128004,9999742689.408457,-18.114705482138653
2026-02-06 18:00:42.530923+00:00,coarse-az,0.0,-176.0,0.0,-176.0,-0.13384325194768548,-176.01485960064724,-0.13384325194768548,-176.01485960064724,10000000000.0,-21.98290756092348,10000604572.913145,-18.46199827813703
2026-02-06 18:00:43.477356+00:00,coarse-az,0.0,-175.0,0.0,-175.0,0.03612537486433768,-175.14248747251,0.03612537486433768,-175.14248747251,10000000000.0,-21.47486272509437,10000361086.68511,-19.069876791302143
2026-02-06 18:00:44.513516+00:00,coarse-az,0.0,-174.0,0.0,-174.0,0.12928930501938052,-173.81176617417734,0.12928930501938052,-173.81176617417734,10000000000.0,-21.48443178352321,9998922283.985231,-18.13730734773857
2026-02-06 18:00:45.643916+00:00,coarse-az,0.0,-173.0,0.0,-173.0,0.04536712642569682,-173.05407734120956,0.04536712642569682,-173.05407734120956,10000000000.0,-21.380779923869937,9998085083.64771,-18.38319024938309
2026-02-06 18:00:46.738624+00:00,coarse-az,0.0,-172.0,0.0,-172.0,-0.16901599429769265,-171.86100282709916,-0.16901599429769265,-171.86100282709916,10000000000.0,-21.467313693598243,10000500488.20323,-18.178616910607083
2026-02-06 18:00:47.668250+00:00,coarse-az,0.0,-171.0,0.0,-171.0,-0.07281950274352487,-171.066434209112,-0.07281950274352487,-171.066434209112,10000000000.0,-21.89473720632468,10001857444.121328,-18.85421936194811
2026-02-06 18:00:48.541708+00:00,coarse-az,0.0,-170.0,0.0,-170.0,0.12323034025042633,-170.0229971155481,0.12323034025042633,-170.0229971155481,10000000000.0,-21.012126275732374,9999179268.605734,-18.77946883219186
2026-02-06 18:00:49.479381+00:00,coarse-az,0.0,-169.0,0.0,-169.0,0.02983352450652942,-168.881609808829,0.02983352450652942,-168.881609808829,10000000000.0,-21.98791617188166,9999858988.282743,-18.855312697569506
2026-02-06 18:00:50.483514+00:00,coarse-az,0.0,-168.0,0.0,-168.0,-0.0009858938489975368,-167.96961731549723,-0.0009858938489975368,-167.96961731549723,10000000000.0,-21.004177748950035,10001354081.382505,-18.669010103437955
2026-02-06 18:00:51.251011+00:00,coarse-az,0.0,-167.0,0.0,-167.0,0.04412005947154901,-166.980794564971,0.04412005947154901,-166.980794564971,10000000000.0,-21.35559007218244,10001739633.965439,-19.505584200148025
2026-02-06 18:00:52.229132+00:00,coarse-az,0.0,-166.0,0.0,-166.0,0.07210489500058762,-165.97340565518238,0.07210489500058762,-165.97340565518238,10000000000.0,-21.887732755598588,10000065235.887676,-17.75678802977125
2026-02-06 18:00:53.104541+00:00,coarse-az,0.0,-165.0,0.0,-165.0,-0.07084652365979932,-165.1366157876241,-0.07084652365979932,-165.1366157876241,10000000000.0,-21.415295069462857,10001249725.274065,-18.847055644851988
2026-02-06 18:00:54.031314+00:00,coarse-az,0.0,-164.0,0.0,-164.0,-0.02904000800729554,-164.0389553473638,-0.02904000800729554,-164.0389553473638,10000000000.0,-20.720447197286028,10000750633.970715,-17.917091698747576
2026-02-06 18:00:54.976888+00:00,coarse-az,0.0,-163.0,0.0,-163.0,0.014291364966681958,-163.09564456538817,0.014291364966681958,-163.09564456538817,10000000000.0,-21.390142927508872,9999444184.26963,-18.803891911516512
2026-02-06 18:00:55.945258+00:00,coarse-az,0.0,-162.0,0.0,-162.0,-0.054395772178732565,-161.98025863476857,-0.054395772178732565,-161.98025863476857,10000000000.0,-21.583254347140173,9997981188.38208,-18.040609980403826
2026-02-06 18:00:56.986421+00:00,coarse-az,0.0,-161.0,0.0,-161.0,-0.013345155853725456,-161.05439981304036,-0.013345155853725456,-161.05439981304036,10000000000.0,-21.16823613180042,9999090572.438402,-18.648895857621085
2026-02-06 18:00:58.090672+00:00,coarse-az,0.0,-160.0,0.0,-160.0,0.12978717611819932,-160.00440591214996,0.12978717611819932,-160.00440591214996,10000000000.0,-21.327452910937318,10000369229.331406,-18.010162418158018
2026-02-06 18:00:59.077819+00:00,coarse-az,0.0,-159.0,0.0,-159.0,-0.09678198646920558,-159.0077292563261,-0.09678198646920558,-159.0077292563261,10000000000.0,-21.450627927195907,10000419254.834211,-18.750236055691776
2026-02-06 18:01:00.214465+00:00,coarse-az,0.0,-158.0,0.0,-158.0,0.19266627091351407,-158.0036370384905,0.19266627091351407,-158.0036370384905,10000000000.0,-20.72517262436027,9999497755.44829,-18.196148252886722
2026-02-06 18:01:01.147946+00:00,coarse-az,0.0,-157.0,0.0,-157.0,0.18793443773819862,-157.00347471219115,0.18793443773819862,-157.00347471219115,10000000000.0,-20.53091043654473,9999142300.040611,-17.520358988413342
2026-02-06 18:01:02.183097+00:00,coarse-az,0.0,-156.0,0.0,-156.0,-0.17134394379643106,-156.06523781063837,-0.17134394379643106,-156.06523781063837,10000000000.0,-21.023959160367628,9998399694.759949,-17.696318479439267
2026-02-06 18:01:03.273444+00:00,coarse-az,0.0,-155.0,0.0,-155.0,-0.014102266511302246,-155.10540027955565,-0.014102266511302246,-155.10540027955565,10000000000.0,-20.54582087657447,9998319666.322624,-17.669747094144146
2026-02-06 18:01:04.282845+00:00,coarse-az,0.0,-154.0,0.0,-154.0,0.034269156964567934,-154.06643563093536,0.034269156964567934,-154.06643563093536,10000000000.0,-20.858132778077678,9999877879.879911,-18.13253993596277
2026-02-06 18:01:05.208495+00:00,coarse-az,0.0,-153.0,0.0,-153.0,-0.0760871087506429,-152.89284616593562,-0.0760871087506429,-152.89284616593562,10000000000.0,-20.68452890657799,9998425266.076603,-18.74290936207963
2026-02-06 18:01:06.116322+00:00,coarse-az,0.0,-152.0,0.0,-152.0,-0.07410805036847287,-151.9625838193535,-0.07410805036847287,-151.9625838193535,10000000000.0,-20.54876913008299,9999984894.010271,-18.04464297046202
2026-02-06 18:01:07.070549+00:00,coarse-az,0.0,-151.0,0.0,-151.0,-0.02374156967345463,-150.9413044639408,-0.02374156967345463,-150.9413044639408,10000000000.0,-19.949751899998066,9999202019.12809,-17.802540691869968
2026-02-06 18:01:08.092569+00:00,coarse-az,0.0,-150.0,0.0,-150.0,0.07391780871115504,-149.86200320836957,0.07391780871115504,-149.86200320836957,10000000000.0,-20.290077525828558,9999573835.457323,-16.753476578997137
2026-02-06 18:01:08.991607+00:00,coarse-az,0.0,-149.0,0.0,-149.0,-0.05113338389470944,-149.1179430933173,-0.05113338389470944,-149.1179430933173,10000000000.0,-20.85554283642995,10002125367.694038,-17.171135640619433
2026-02-06 18:01:09.970689+00:00,coarse-az,0.0,-148.0,0.0,-148.0,0.18266938116201167,-147.9490047578518,0.18266938116201167,-147.9490047578518,10000000000.0,-20.191124182037093,10000048262.52963,-17.239224693112746
2026-02-06 18:01:10.954766+00:00,coarse-az,0.0,-147.0,0.0,-147.0,0.028997400233853207,-147.10750741052027,0.028997400233853207,-147.10750741052027,10000000000.0,-20.443850821517767,9999656447.081593,-17.646307205600003
2026-02-06 18:01:12.008851+00:00,coarse-az,0.0,-146.0,0.0,-146.0,-0.010257528408332377,-146.0334332598867,-0.010257528408332377,-146.0334332598867,10000000000.0,-20.488215844569847,9999826664.167053,-17.666301457862005
2026-02-06 18:01:13.030317+00:00,coarse-az,0.0,-145.0,0.0,-145.0,0.14492596851314582,-144.95157601572294,0.14492596851314582,-144.95157601572294,10000000000.0,-20.583486966302374,9998526342.787344,-16.927271547547765
2026-02-06 18:01:14.065854+00:00,coarse-az,0.0,-144.0,0.0,-144.0,0.06262811950603524,-143.83856547328637,0.06262811950603524,-143.83856547328637,10000000000.0,-20.202433060402733,10001339149.263401,-17.37795457933913
2026-02-06 18:01:15.000471+00:00,coarse-az,0.0,-143.0,0.0,-143.0,0.03692867756875739,-143.07821649424753,0.03692867756875739,-143.07821649424753,10000000000.0,-20.177964037110563,10000847816.41922,-17.32235829600469
2026-02-06 18:01:15.987510+00:00,coarse-az,0.0,-142.0,0.0,-142.0,-0.0331140382769525,-142.00947962535938,-0.0331140382769525,-142.00947962535938,10000000000.0,-20.261347120125606,9999468004.868275,-16.14154692317243
2026-02-06 18:01:17.065908+00:00,coarse-az,0.0,-141.0,0.0,-141.0,0.181398561389275,-140.8843763196045,0.181398561389275,-140.8843763196045,10000000000.0,-20.600683592702843,10000229288.168938,-17.535134336601153
2026-02-06 18:01:18.215251+00:00,coarse-az,0.0,-140.0,0.0,-140.0,0.08118215897399868,-140.14898081193653,0.08118215897399868,-140.14898081193653,10000000000.0,-20.690319133456157,9999328422.274189,-17.148253070937482
2026-02-06 18:01:19.089344+00:00,coarse-az,0.0,-139.0,0.0,-139.0,-0.020341133594471233,-138.96378870852934,-0.020341133594471233,-138.96378870852934,10000000000.0,-19.89699571305757,10000396281.22958,-17.07303448662124
2026-02-06 18:01:20.240736+00:00,coarse-az,0.0,-138.0,0.0,-138.0,-0.15771991506827038,-138.0308278150398,-0.15771991506827038,-138.0308278150398,10000000000.0,-19.83026399480568,9998657027.281544,-17.22721245325532
2026-02-06 18:01:21.375324+00:00,coarse-az,0.0,-137.0,0.0,-137.0,0.03729515417619218,-137.088169497147,0.03729515417619218,-137.088169497147,10000000000.0,-18.981157253572356,10000267470.702765,-17.560192016938508
2026-02-06 18:01:22.453455+00:00,coarse-az,0.0,-136.0,0.0,-136.0,-0.11437400921015901,-135.98533691769265,-0.11437400921015901,-135.98533691769265,10000000000.0,-19.870734454560424,10001501269.83839,-16.16309390719229
2026-02-06 18:01:23.479901+00:00,coarse-az,0.0,-135.0,0.0,-135.0,-0.1715945951758321,-134.9405074138153,-0.1715945951758321,-134.9405074138153,10000000000.0,-19.33846119414708,10000446281.27431,-17.45325397208171
2026-02-06 18:01:24.448509+00:00,coarse-az,0.0,-134.0,0.0,-134.0,-0.027915150546776415,-134.09120997623262,-0.027915150546776415,-134.09120997623262,10000000000.0,-19.226479155168562,9999409910.61288,-17.15836783869848
2026-02-06 18:01:25.594311+00:00,coarse-az,0.0,-133.0,0.0,-133.0,0.028147110259062233,-132.96200102181533,0.028147110259062233,-132.96200102181533,10000000000.0,-19.67252690221084,10000949769.979437,-16.51996758871252
2026-02-06 18:01:26.790337+00:00,coarse-az,0.0,-132.0,0.0,-132.0,0.12824812336831645,-131.982663001038,0.12824812336831645,-131.982663001038,10000000000.0,-19.56841586415751,10001950542.99634,-17.221004117150905
